Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Power Plug 1,Socket,72.5,2.1213203435596424,0.164483,0.2326140893798138,97.0,4.0,50.5
Unknown,Unknown,29.923076923076923,13.307025327883128,0.09790175,0.21056266619923822,215.0,32.0,114.5
Smart Socket,Socket,31.583333333333332,12.413030787576956,0.048998454545454546,0.13115667574802561,215.0,32.0,105.72727272727273
Moes Bulb,Bulb,31.90909090909091,12.964987816843838,0.053614300000000004,0.13730625651930228,215.0,32.0,96.0
Philips Lamp 1,Bulb,32.3,13.597793938724031,0.05903722222222222,0.14449495883315253,215.0,32.0,101.0
Philips Lamp 3,Bulb,32.77777777777778,14.333333333333332,0.06623,0.15273943698338027,215.0,32.0,107.75
Philips Lamp 2,Bulb,33.375,15.202795795510772,0.07502528571428571,0.1627745651841981,215.0,51.0,118.57142857142857
Ledvance Bulb,Bulb,34.142857142857146,16.25247233939677,0.08581933333333332,0.17554479367804293,202.0,51.0,102.5
Ledvance Smart+ Plug,Socket,35.166666666666664,17.55467648994611,0.0981092,0.1933576015164648,202.0,61.0,112.8
Coordinator,Coordinator,36.6,19.23018460649819,0.0981092,0.1933576015164648,202.0,61.0,112.8
Power Plug 1,Socket,38.75,21.5,0.12071625,0.21550489094430467,202.0,94.0,125.75
Ledvance Z3 Plug,Socket,42.333333333333336,24.826061575153908,0.151106,0.2532238448507565,202.0,94.0,135.0
Power Plug 2,Socket,49.5,30.405591591021544,0.223346,0.3113405299699992,202.0,94.0,148.0
Smart Socket,Socket,30.333333333333332,37.978063843926186,0.4077950000000001,0.637223229090089,204.0,126.0,152.0
Unknown,Unknown,8.5,4.949747468305833,0.040614000000000004,0.05635216781988072,126.0,126.0,126.0
Unknown,Unknown,5.0,,0.000767,,126.0,126.0,126.0
Philips Lamp 2,Bulb,77.0,,1.169897,,216.0,216.0,216.0
Coordinator,Coordinator,36.44444444444444,25.132560432031827,0.08109272727272727,0.570686381484075,254.0,48.0,99.36363636363636
Unknown,Unknown,36.310344827586206,25.199521663197753,0.08109272727272729,0.570686381484075,254.0,48.0,99.36363636363636
Ledvance Bulb,Bulb,36.582608695652176,25.13785940749832,0.08255679629629631,0.5759407873004314,254.0,48.0,100.05555555555556
Unknown,Unknown,36.44736842105263,25.206787997583106,0.08255679629629631,0.5759407873004314,254.0,48.0,100.05555555555556
Smart Socket,Socket,36.72566371681416,25.142539289451605,0.08407639622641509,0.5813430076254908,254.0,48.0,100.05660377358491
Unknown,Unknown,36.49107142857143,25.131006488598654,0.08407639622641509,0.5813430076254908,254.0,48.0,100.05660377358491
Coordinator,Coordinator,36.77477477477478,25.064166629123108,0.08564713461538463,0.5869012068212472,254.0,48.0,98.03846153846153
Unknown,Unknown,36.63636363636363,25.136226013767043,0.08564713461538463,0.5869012068212472,254.0,48.0,98.03846153846153
Ledvance Bulb,Bulb,36.92660550458716,25.066469570006127,0.08728660784313727,0.5926208925983651,254.0,48.0,98.72549019607843
Unknown,Unknown,36.78703703703704,25.140744353595032,0.08728660784313727,0.5926208925983651,254.0,48.0,98.72549019607843
Power Plug 1,Socket,37.08411214953271,25.067878226522396,0.08899198000000003,0.598511077199776,254.0,48.0,98.68
Unknown,Unknown,36.839622641509436,25.05845995057038,0.08899198,0.598511077199776,254.0,48.0,98.68
Coordinator,Coordinator,37.142857142857146,24.98246637891518,0.0907591836734694,0.6045816148963635,254.0,48.0,98.6734693877551
Unknown,Unknown,37.06730769230769,25.091391949484567,0.0907591836734694,0.6045816148963635,254.0,48.0,98.6734693877551
Ledvance Bulb,Bulb,37.37864077669903,25.011415630865226,0.09261231250000002,0.6108388307138278,254.0,48.0,99.39583333333333
Unknown,Unknown,37.30392156862745,25.1233744720942,0.0926123125,0.6108388307138278,254.0,48.0,99.39583333333333
Coordinator,Coordinator,37.62376237623762,25.03911000221395,0.09454461702127663,0.6172943799451713,254.0,48.0,99.34042553191489
Unknown,Unknown,37.46,25.110833108320783,0.0945446170212766,0.6172943799451713,254.0,48.0,99.34042553191489
Ledvance Bulb,Bulb,37.78787878787879,25.022550126681743,0.09655434782608696,0.6239600381226426,254.0,48.0,100.08695652173913
Unknown,Unknown,37.62244897959184,25.09672640833652,0.09655434782608695,0.6239600381226426,254.0,48.0,100.08695652173913
Smart Socket,Socket,37.95876288659794,25.00413196094346,0.09865375555555557,0.6308463337832957,254.0,48.0,100.02222222222223
Unknown,Unknown,37.666666666666664,24.96847134695092,0.09865375555555556,0.6308463337832957,254.0,48.0,100.02222222222223
Coordinator,Coordinator,38.01052631578948,24.871368969176093,0.10083918181818184,0.637967258895338,254.0,48.0,97.61363636363636
Unknown,Unknown,37.93617021276596,24.994110493645614,0.10083918181818183,0.637967258895338,254.0,48.0,97.61363636363636
Ledvance Bulb,Bulb,38.29032258064516,24.891320577908306,0.1031422093023256,0.6453323352207779,254.0,48.0,98.34883720930233
Unknown,Unknown,38.21739130434783,25.017719472913967,0.1031422093023256,0.6453323352207779,254.0,48.0,98.34883720930233
Coordinator,Coordinator,38.582417582417584,24.90875166775545,0.10555533333333333,0.6529584441331723,254.0,48.0,98.21428571428571
Unknown,Unknown,38.41111111111111,24.994333939687987,0.10555533333333335,0.6529584441331723,254.0,48.0,98.21428571428571
Ledvance Bulb,Bulb,38.78651685393258,24.879469406663375,0.10807870731707317,0.66086267918446,254.0,48.0,98.97560975609755
Unknown,Unknown,38.61363636363637,24.968224320230096,0.10807870731707317,0.66086267918446,254.0,48.0,98.97560975609755
Coordinator,Coordinator,39.0,24.8469735183836,0.110728625,0.6690610152897861,254.0,48.0,98.825
Unknown,Unknown,38.825581395348834,24.939074873386062,0.110728625,0.6690610152897861,254.0,48.0,98.825
Power Plug 1,Socket,39.22352941176471,24.810892611046118,0.11351405128205129,0.6775722845437522,254.0,48.0,99.61538461538461
Unknown,Unknown,38.904761904761905,24.784186100526263,0.1135140512820513,0.6775722845437522,254.0,48.0,99.61538461538461
Ledvance Bulb,Bulb,39.31325301204819,24.64871624364228,0.11643560526315791,0.6864186346107161,254.0,48.0,99.60526315789474
Unknown,Unknown,39.13414634146341,24.74599964933699,0.11643560526315791,0.6864186346107161,254.0,48.0,99.60526315789474
Power Plug 2,Socket,39.55555555555556,24.602337287339182,0.11952643243243243,0.6956187939707007,254.0,48.0,99.43243243243244
Unknown,Unknown,39.225,24.57588351683233,0.11952643243243243,0.6956187939707007,254.0,48.0,99.43243243243244
Power Plug 2,Socket,39.65822784810127,24.42355214507745,0.12277730555555556,0.7052011146655488,254.0,48.0,99.55555555555556
Coordinator,Coordinator,39.32051282051282,24.395280355628287,0.12277730555555556,0.7052011146655488,254.0,48.0,99.55555555555556
Unknown,Unknown,39.246753246753244,24.546495003390394,0.12277730555555559,0.7052011146655488,254.0,48.0,99.55555555555556
Power Plug 2,Socket,39.69736842105263,24.386892510440703,0.12623354285714286,0.7151871412491131,254.0,48.0,100.42857142857143
Ledvance Bulb,Bulb,39.346666666666664,24.357413729778536,0.12623354285714283,0.7151871412491131,254.0,48.0,100.42857142857143
Unknown,Unknown,39.270270270270274,24.514629290303805,0.12623354285714283,0.7151871412491131,254.0,48.0,100.42857142857143
Coordinator,Coordinator,38.32876712328767,23.29822048195034,0.12990014705882352,0.725608452192851,254.0,48.0,99.38235294117646
Unknown,Unknown,38.138888888888886,23.404769921664954,0.12990014705882352,0.725608452192851,254.0,48.0,99.38235294117646
Power Plug 2,Socket,38.605633802816904,23.23143121674318,0.13377490909090908,0.7365015740060558,254.0,48.0,100.27272727272727
Unknown,Unknown,38.214285714285715,23.16224617849328,0.13377490909090908,0.7365015740060558,254.0,48.0,100.27272727272727
Ledvance Bulb,Bulb,38.69565217391305,22.976525327223264,0.13787740625,0.7479031592142797,254.0,48.0,100.40625
Ledvance Bulb,Bulb,38.5,23.08937857511706,0.13787740625,0.7479031592142797,254.0,48.0,100.40625
Ledvance Bulb,Bulb,38.298507462686565,23.203327168274246,0.13787740625,0.7479031592142797,254.0,48.0,100.40625
Power Plug 2,Socket,38.09090909090909,23.318350167742466,0.13787740625,0.7479031592142797,254.0,48.0,100.40625
Coordinator,Coordinator,37.66153846153846,23.235396571742726,0.13787740624999997,0.7479031592142797,254.0,48.0,100.40625
Unknown,Unknown,37.546875,23.40053566575869,0.13787740624999997,0.7479031592142797,254.0,48.0,100.40625
Coordinator,Coordinator,38.06349206349206,23.217674729973954,0.1422574193548387,0.7598487166044645,254.0,48.0,100.16129032258064
Unknown,Unknown,37.95161290322581,23.39008296185487,0.1422574193548387,0.7598487166044645,254.0,48.0,100.16129032258064
Power Plug 2,Socket,38.49180327868852,23.190963003448616,0.14693900000000001,0.772383663156934,254.0,48.0,101.13333333333334
Ledvance Bulb,Bulb,38.03333333333333,23.106215076062167,0.146939,0.772383663156934,254.0,48.0,101.13333333333334
Unknown,Unknown,37.91525423728814,23.28629028034426,0.14693900000000001,0.772383663156934,254.0,48.0,101.13333333333334
Power Plug 2,Socket,38.48275862068966,23.074434382689955,0.1519440689655172,0.7855599697005466,254.0,48.0,100.86206896551724
Unknown,Unknown,38.0,22.982135919634874,0.1519440689655172,0.7855599697005466,254.0,48.0,100.86206896551724
Power Plug 2,Socket,38.589285714285715,22.75144493770114,0.15728153571428566,0.7994394412066812,254.0,48.0,101.0
Coordinator,Coordinator,38.09090909090909,22.650543879720377,0.15728153571428574,0.7994394412066812,254.0,48.0,101.0
Unknown,Unknown,37.96296296296296,22.843159219571138,0.1572815357142857,0.7994394412066812,254.0,48.0,101.0
Ledvance Bulb,Bulb,38.58490566037736,22.595467518836053,0.16303974074074076,0.8140762983718035,254.0,48.0,102.07407407407408
Ledvance Bulb,Bulb,38.46153846153846,22.797885641953496,0.1630397407407407,0.8140762983718035,254.0,48.0,102.07407407407408
Coordinator,Coordinator,38.333333333333336,23.00579637105976,0.16303974074074076,0.8140762983718035,254.0,48.0,102.07407407407408
Ledvance Bulb,Bulb,38.2,23.21944997502864,0.16303974074074074,0.8140762983718035,254.0,48.0,102.07407407407408
Power Plug 2,Socket,37.375,23.184390383333536,0.006377884615384615,0.007959445359203983,211.0,48.0,96.23076923076923
Coordinator,Coordinator,36.765957446808514,23.04363796569027,0.006377884615384614,0.007959445359203983,211.0,48.0,96.23076923076923
Unknown,Unknown,36.58695652173913,23.26521111679794,0.006377884615384615,0.007959445359203983,211.0,48.0,96.23076923076923
Power Plug 2,Socket,37.28888888888889,23.030239234361396,0.0065606399999999995,0.008067707144742756,211.0,48.0,97.2
Coordinator,Coordinator,36.63636363636363,22.871827810640255,0.0065606399999999995,0.008067707144742756,211.0,48.0,97.2
Unknown,Unknown,36.44186046511628,23.105660330607304,0.0065606399999999995,0.008067707144742756,211.0,48.0,97.2
Ledvance Bulb,Bulb,37.19047619047619,22.85184317189924,0.006758625,0.00817895159015692,211.0,48.0,98.20833333333333
Power Plug 2,Socket,37.0,23.101947969814148,0.006758625,0.00817895159015692,211.0,48.0,98.20833333333333
Coordinator,Coordinator,36.275,22.91901852733686,0.006758625000000001,0.00817895159015692,211.0,48.0,98.20833333333333
Unknown,Unknown,36.05128205128205,23.174337801188983,0.006758625,0.00817895159015692,211.0,48.0,98.20833333333333
Power Plug 2,Socket,36.86842105263158,22.908951457869133,0.0069738260869565225,0.008293005753219089,211.0,48.0,99.26086956521739
Ledvance Bulb,Bulb,36.16216216216216,22.801697687177096,0.0069738260869565225,0.008293005753219089,211.0,48.0,99.26086956521739
Power Plug 2,Socket,35.916666666666664,23.075497208696746,0.006973826086956521,0.008293005753219089,211.0,48.0,99.26086956521739
Ledvance Bulb,Bulb,35.142857142857146,22.933590644117047,0.006973826086956521,0.008293005753219089,211.0,48.0,99.26086956521739
Unknown,Unknown,34.85294117647059,23.213282969861442,0.0069738260869565225,0.008293005753219089,211.0,48.0,99.26086956521739
Ledvance Bulb,Bulb,35.75757575757576,22.956521817108836,0.007208681818181817,0.008409510564923409,211.0,48.0,98.72727272727273
Ledvance Bulb,Bulb,35.46875,23.262851980315407,0.007208681818181819,0.008409510564923409,211.0,48.0,98.72727272727273
Unknown,Unknown,35.16129032258065,23.58120264701463,0.007208681818181819,0.008409510564923409,211.0,48.0,98.72727272727273
Power Plug 2,Socket,36.166666666666664,23.298783945376496,0.007466666666666667,0.008527509222119511,211.0,48.0,98.0952380952381
Unknown,Unknown,35.241379310344826,23.143427287266356,0.007466666666666667,0.008527509222119511,211.0,48.0,98.0952380952381
Power Plug 2,Socket,34.25,22.932469298968833,0.007583049999999999,0.008731911640191124,211.0,48.0,97.95
Power Plug 2,Socket,33.18518518518518,22.652962171793227,0.007583049999999999,0.008731911640191124,211.0,48.0,97.95
Ledvance Bulb,Bulb,32.03846153846154,22.288078910899017,0.007583049999999999,0.008731911640191124,211.0,48.0,97.95
Unknown,Unknown,31.52,22.58709070833751,0.007583049999999999,0.008731911640191124,211.0,48.0,97.95
Power Plug 2,Socket,32.625,22.371978785583735,0.007887842105263158,0.008861207625645351,211.0,48.0,97.15789473684211
Power Plug 2,Socket,31.304347826086957,21.89735306255633,0.007887842105263158,0.008861207625645351,211.0,48.0,97.15789473684211
Unknown,Unknown,29.863636363636363,21.267671541893176,0.00804811111111111,0.009089727057889479,211.0,48.0,96.88888888888889
Philips Lamp 1,Bulb,30.80952380952381,21.31342076631306,0.008348411764705882,0.009276981318422115,207.0,48.0,90.17647058823529
Smart Socket,Socket,31.5,21.26656217320201,0.009254,0.010308562694834489,207.0,50.0,91.07692307692308
Power Plug 2,Socket,31.733333333333334,21.99177335364511,0.006730750000000001,0.00506304121910573,204.0,50.0,81.41666666666667
Coordinator,Coordinator,32.0,22.79676090352109,0.005784545454545455,0.004047199633416577,204.0,50.0,79.45454545454545
Coordinator,Coordinator,28.454545454545453,18.50061424041719,0.006302777777777778,0.004282607172557908,204.0,51.0,83.22222222222223
Ledvance Bulb,Bulb,28.5,19.500712237705006,0.005579249999999999,0.003946686449234526,204.0,51.0,84.125
Moes Bulb,Bulb,28.555555555555557,20.68278940998476,0.005294285714285714,0.004173065967778196,204.0,51.0,88.71428571428571
