File Name,Original Size (KB),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB),GZIP Size (KB)_ratio,BZIP2 Size (KB)_ratio,LZMA Size (KB)_ratio,PPMD Size (KB)_ratio,8-bit Entropy Min Size (KB)_ratio,16-bit Entropy Min Size (KB)_ratio,8-bit Conditional Entropy Min Size (KB)_ratio
physicalInteraction1.pcapng,193.03515625,66.9296875,65.1884765625,55.41015625,61.21484375,132.56350351947407,66.28175175973703,89.20252438282898,2.8841484767129684,2.961185265081719,3.4837504406062743,3.153404377512603,1.4561712019148803,2.9123424038297605,2.1640100163707725
physicalInteraction2.pcapng,220.9140625,83.068359375,80.1904296875,69.07421875,75.6181640625,152.58711853304823,76.29355926652413,106.92325502368917,2.6594248900801767,2.75486817268465,3.1982129729118363,2.9214417625560163,1.4477897257896846,2.8955794515793687,2.066099301326506
physicalInteraction3.pcapng,199.6875,72.7548828125,70.1328125,60.2421875,66.15234375,135.65329736139734,67.82664868069867,93.19407409711948,2.74466114548798,2.8472763729531025,3.31474516923875,3.0186005314437554,1.4720430972496565,2.944086194499313,2.1427059814114524
physicalInteraction4.pcapng,503.875,196.224609375,186.6474609375,163.1875,179.0927734375,359.9758793444318,179.9879396722159,257.0528238419395,2.5678481491435,2.6996081139765704,3.0877058598238225,2.813485939877093,1.3997465633464923,2.7994931266929846,1.9602002128162972
physicalInteraction5.pcapng,299.421875,112.376953125,109.470703125,94.00390625,104.20703125,214.95186188074496,107.47593094037248,149.0954076731946,2.6644420112275577,2.735178147692198,3.185206731768128,2.873336582074446,1.39297176763288,2.78594353526576,2.0082568582951206
physicalInteraction6.pcapng,412.0703125,150.0986328125,146.96484375,125.02734375,139.4345703125,298.63859085051,149.319295425255,209.2880966828195,2.745330219061685,2.803869973154719,3.295841534664292,2.95529517232685,1.379829416306986,2.759658832613972,1.9689142336866925
physicalInteraction7.pcapng,801.4453125,308.248046875,295.109375,256.5,283.1123046875,580.4786441367162,290.2393220683581,421.986586928232,2.6000012672424173,2.7157568698046277,3.1245431286549707,2.8308388552190875,1.3806628729501391,2.7613257459002782,1.89921987410539
scenario1.pcapng,922.12890625,322.8291015625,302.6787109375,259.7265625,287.5439453125,631.0581149668018,315.5290574834009,461.5269269302147,2.856399568028024,3.0465601739674715,3.5503835163182433,3.2069147039345207,1.4612424503859056,2.9224849007718112,1.9979958967582205
powerLedvanceBulb1.pcapng,87.328125,21.380859375,23.7529296875,18.12109375,21.4501953125,61.36655712706294,30.68327856353147,35.70447302571399,4.084406686763497,3.676520166097932,4.8191420564776895,4.071204188481675,1.4230572658521834,2.846114531704367,2.4458595128153044
powerLedvanceBulb2.pcapng,81.52734375,20.8623046875,23.0390625,17.7734375,20.8271484375,57.57835632024221,28.789178160121107,33.49391652298583,3.9078781070074426,3.5386571719226856,4.587032967032967,3.91447460964974,1.4159373236803967,2.831874647360793,2.4340940747866955
